target.id	bait.id	target.chr	target.start	target.end	bait.chr	bait.start	bait.end	bait.to.bait	count.1	count.2	bait.trans.count	target.trans.count	distance	count	expected	p.value	q.value
chr2:216687613-216696003	chr2:217510642-217511619	chr2	216687613	216696003	chr2	217510642	217511619	FALSE	69	88	5972	51	819322.5	157	4.08322817201357	8.62746400460586e-34	8.13311031714194e-30
chr2:216698549-216701059	chr2:217510642-217511619	chr2	216698549	216701059	chr2	217510642	217511619	FALSE	71	79	5972	69	811326.5	150	4.12787735232293	6.30323185787797e-32	2.97102833621078e-28
chr2:216698549-216701059	chr2:217511619-217520976	chr2	216698549	216701059	chr2	217511619	217520976	FALSE	97	48	5732	69	816493.5	145	4.01508224688568	1.6175231583919e-31	2.00459645019508e-27
chr2:216687613-216696003	chr2:217511619-217520976	chr2	216687613	216696003	chr2	217511619	217520976	FALSE	81	53	5732	51	824489.5	134	3.97192513641842	2.87437380333694e-29	1.78110572723774e-25
chr2:216696003-216698549	chr2:217511619-217520976	chr2	216696003	216698549	chr2	217511619	217520976	FALSE	65	53	5732	57	819021.5	118	4.00134171653872	1.91259844906151e-25	7.9009441930731e-22
chr2:216687613-216696003	chr2:217510042-217510642	chr2	216687613	216696003	chr2	217510042	217510642	FALSE	59	95	11283	51	818534	154	5.63227043820049	3.12203004001952e-25	2.29718970344636e-21
chr2:216696003-216698549	chr2:217510642-217511619	chr2	216696003	216698549	chr2	217510642	217511619	FALSE	60	56	5972	57	813854.5	116	4.11366113991989	1.99718809777988e-24	6.27583073259031e-21
chr2:216698549-216701059	chr2:217510042-217510642	chr2	216698549	216701059	chr2	217510042	217510642	FALSE	51	96	11283	69	810538	147	5.69391799183288	8.58372668409034e-24	4.21060406276911e-20
chr2:216687613-216696003	chr2:217385905-217388159	chr2	216687613	216696003	chr2	217385905	217388159	FALSE	93	130	19205	51	695224	223	9.22229427753644	8.38731453071643e-21	1.24014832651173e-16
chr2:216698549-216701059	chr2:217502220-217506638	chr2	216698549	216701059	chr2	217502220	217506638	FALSE	47	45	5537	69	804625	92	4.01026442130051	1.6283182735304e-19	1.78235718220638e-15
chr2:216687613-216696003	chr2:217502220-217506638	chr2	216687613	216696003	chr2	217502220	217506638	FALSE	47	37	5537	51	812621	84	3.96652987364551	7.06408955292026e-18	3.86617621231326e-14
chr2:216682129-216687613	chr2:217511619-217520976	chr2	216682129	216687613	chr2	217511619	217520976	FALSE	54	28	5732	25	831426.5	82	3.93519256165083	1.53758455361282e-17	4.76382134323091e-14
chr2:216696003-216698549	chr2:217510042-217510642	chr2	216696003	216698549	chr2	217510042	217510642	FALSE	44	64	11283	57	813066	108	5.67428939641034	3.41072075722422e-17	1.25480416658279e-13
chr2:216682129-216687613	chr2:217510642-217511619	chr2	216682129	216687613	chr2	217510642	217511619	FALSE	53	26	5972	25	826259.5	79	4.04523022593688	1.78656079121317e-16	4.21047714469163e-13
chr2:216687613-216696003	chr2:217499528-217502220	chr2	216687613	216696003	chr2	217499528	217502220	FALSE	47	38	6802	51	809066	85	4.42125467629679	1.57731261356993e-16	1.3389331908813e-12
chr2:216698549-216701059	chr2:217499528-217502220	chr2	216698549	216701059	chr2	217499528	217502220	FALSE	46	39	6802	69	801070	85	4.47021942527826	2.2482296883239e-16	1.3389331908813e-12
chr2:216698549-216701059	chr2:217385905-217388159	chr2	216698549	216701059	chr2	217385905	217388159	FALSE	69	112	19205	69	687228	181	9.32749204539091	1.51140596266392e-16	1.48984323759658e-12
chr2:216687613-216696003	chr2:217388204-217389141	chr2	216687613	216696003	chr2	217388204	217389141	FALSE	52	134	23470	51	696864.5	186	10.3238183592261	1.80963662599559e-15	1.40536380374818e-11
chr2:216687613-216696003	chr2:217389615-217397055	chr2	216687613	216696003	chr2	217389615	217397055	FALSE	68	35	7474	51	701527	103	5.31736257468602	2.63531114256498e-15	4.08921229991808e-11
chr2:216696003-216698549	chr2:217385905-217388159	chr2	216696003	216698549	chr2	217385905	217388159	FALSE	50	112	19205	57	689756	162	9.29397183655978	8.82637122083416e-15	6.5253362435627e-11
chr2:216698549-216701059	chr2:217507798-217509495	chr2	216698549	216701059	chr2	217507798	217509495	FALSE	31	37	5588	69	808842.5	68	4.0055432561975	3.74798002347478e-14	3.26449060044653e-10
chr2:216680419-216682129	chr2:217510642-217511619	chr2	216680419	216682129	chr2	217510642	217511619	FALSE	38	25	5972	37	829856.5	63	4.02579102637218	5.49472429590372e-13	8.63312765624739e-10
chr2:216757218-216758869	chr2:217510642-217511619	chr2	216757218	216758869	chr2	217510642	217511619	FALSE	32	42	5972	70	753087	74	4.36077671008472	7.31995855002465e-13	9.85789275015462e-10
chr2:216687613-216696003	chr2:217520976-217531270	chr2	216687613	216696003	chr2	217520976	217531270	FALSE	29	16	2267	51	834315	45	2.45669162877896	1.90083381876165e-13	1.06218593792401e-09
chr2:216698549-216701059	chr2:217509495-217510042	chr2	216698549	216701059	chr2	217509495	217510042	FALSE	22	51	8131	69	809964.5	73	4.83128479661011	5.15095107073149e-13	2.81782778324366e-09
chr2:216696003-216698549	chr2:217502220-217506638	chr2	216696003	216698549	chr2	217502220	217506638	FALSE	27	34	5537	57	807153	61	3.99633861274343	1.26951063075896e-12	4.63202112142919e-09
chr2:216687613-216696003	chr2:217491009-217492415	chr2	216687613	216696003	chr2	217491009	217492415	FALSE	55	45	16612	51	799904	100	7.02135841307026	4.59653986763727e-13	5.60571019557703e-09
chr2:216687613-216696003	chr2:217509495-217510042	chr2	216687613	216696003	chr2	217509495	217510042	FALSE	33	36	8131	51	817960.5	69	4.77894024216509	2.28882817403979e-12	8.34735635072313e-09
chr2:216687613-216696003	chr2:217494224-217498021	chr2	216687613	216696003	chr2	217494224	217498021	FALSE	44	25	7162	51	804314.5	69	4.56737913878111	7.34845989782698e-13	9.48906626606397e-09
chr2:216687613-216696003	chr2:217479806-217484313	chr2	216687613	216696003	chr2	217479806	217484313	FALSE	42	38	9735	51	790251.5	80	5.43658636328947	6.01585004910071e-13	1.07593478128166e-08
chr2:216696003-216698549	chr2:217509495-217510042	chr2	216696003	216698549	chr2	217509495	217510042	FALSE	25	43	8131	57	812492.5	68	4.81461819544634	4.27060882381525e-12	1.16811827853407e-08
chr2:216696003-216698549	chr2:217507798-217509495	chr2	216696003	216698549	chr2	217507798	217509495	FALSE	25	34	5588	57	811370.5	59	3.99170613085619	3.42730588085515e-12	1.39384836231162e-08
chr2:216687613-216696003	chr2:217507798-217509495	chr2	216687613	216696003	chr2	217507798	217509495	FALSE	28	30	5588	51	816838.5	58	3.96208561926264	4.80085543850155e-12	1.39384836231162e-08
chr2:216701059-216705630	chr2:217511619-217520976	chr2	216701059	216705630	chr2	217511619	217520976	FALSE	34	23	5732	35	812953	57	4.03447756142066	1.20975409462983e-11	1.67693328098432e-08
chr2:216698549-216701059	chr2:217491009-217492415	chr2	216698549	216701059	chr2	217491009	217492415	FALSE	59	37	16612	69	791908	96	7.10001907452736	2.24958265738041e-12	1.82898568653886e-08
chr2:216682129-216687613	chr2:217510042-217510642	chr2	216682129	216687613	chr2	217510042	217510642	FALSE	32	43	11283	25	825471	75	5.57980728043153	8.38477645635634e-12	2.05650617219566e-08
chr2:216680419-216682129	chr2:217511619-217520976	chr2	216680419	216682129	chr2	217511619	217520976	FALSE	31	24	5732	37	835023.5	55	3.91639913118142	1.72654247272126e-11	2.13970408644345e-08
chr2:216687613-216696003	chr2:217430817-217437011	chr2	216687613	216696003	chr2	217430817	217437011	FALSE	46	43	8921	51	742106	89	5.57025089529143	1.32032690838917e-12	2.33671456246716e-08
chr2:216698549-216701059	chr2:217389615-217397055	chr2	216698549	216701059	chr2	217389615	217397055	FALSE	53	31	7474	69	693531	84	5.3774660016442	3.06115714757311e-12	2.3749987729446e-08
chr2:216705630-216708907	chr2:217511619-217520976	chr2	216705630	216708907	chr2	217511619	217520976	FALSE	39	17	5732	39	809029	56	4.05618292726719	2.25653798141903e-11	2.52602457154457e-08
chr2:216757218-216758869	chr2:217511619-217520976	chr2	216757218	216758869	chr2	217511619	217520976	FALSE	45	19	5732	70	758254	64	4.23083763484139	2.44592066961469e-11	2.52602457154457e-08
chr2:216705630-216708907	chr2:217510642-217511619	chr2	216705630	216708907	chr2	217510642	217511619	FALSE	31	25	5972	39	803862	56	4.17040440985412	4.14772804965059e-11	4.34451470267291e-08
chr2:216758869-216766384	chr2:217510642-217511619	chr2	216758869	216766384	chr2	217510642	217511619	FALSE	25	39	5972	82	748504	64	4.38695482688875	5.42273477072825e-11	5.11201206836552e-08
chr2:216698549-216701059	chr2:217388204-217389141	chr2	216698549	216701059	chr2	217388204	217389141	FALSE	48	96	23470	69	688868.5	144	10.4413006860837	1.07570963939171e-11	6.68316884761284e-08
chr2:216758869-216766384	chr2:217511619-217520976	chr2	216758869	216766384	chr2	217511619	217520976	FALSE	40	21	5732	82	753671	61	4.2560616029394	9.96619394076654e-11	8.23406943386131e-08
chr2:216698549-216701059	chr2:217048162-217060744	chr2	216698549	216701059	chr2	217048162	217060744	FALSE	78	57	6477	69	354649	135	9.08986480200374	6.45228495297858e-12	8.6131551837311e-08
chr2:216698549-216701059	chr2:217397055-217403638	chr2	216698549	216701059	chr2	217397055	217403638	FALSE	58	22	7645	69	700542.5	80	5.39428844161247	1.34353875660674e-11	1.61940570370048e-07
chr2:216687613-216696003	chr2:217397055-217403638	chr2	216687613	216696003	chr2	217397055	217403638	FALSE	47	31	7645	51	708538.5	78	5.3345936854365	2.09103971037572e-11	1.61940570370048e-07
chr2:216696003-216698549	chr2:217389615-217397055	chr2	216696003	216698549	chr2	217389615	217397055	FALSE	41	36	7474	57	696059	77	5.3583160009349	3.29349362052306e-11	1.70350468365521e-07
chr2:216698549-216701059	chr2:217479806-217484313	chr2	216698549	216701059	chr2	217479806	217484313	FALSE	40	31	9735	69	782255.5	71	5.49824469578613	2.83805916543834e-11	2.53793440869324e-07
